Szenario,Nutzer (MAU),Supabase Pro,Compute über dem Guthaben,Aktive Nutzer,Datenbank,Dateispeicher,Datenverkehr,Realtime-Nachrichten,Realtime-Verbindungen,Edge Functions,Expo EAS (Updates),Summe $/Monat,Summe €/Monat,$ pro Nutzer,Datenverkehr GB,Speicher GB,Datenbank GB,Realtime-Verbindungen,Compute
"Wie gebaut",1000,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,23.00,0.0250,199,17,2,25,Micro
"Wie gebaut",10000,25.00,5.00,0.00,1.42,1.54,156.34,0.00,0.00,0.00,199.00,388.30,357.24,0.0388,1987,172,19,250,Small
"Wie gebaut",100000,25.00,100.00,0.00,23.17,34.60,1765.94,32.50,20.00,0.00,449.00,2450.20,2254.19,0.0245,19872,1724,193,2500,Large
"Wie gebaut",500000,25.00,400.00,1300.00,119.85,181.50,8919.68,212.50,120.00,0.00,2074.00,13352.54,12284.33,0.0267,99358,8621,967,12500,2XL
"Wie gebaut",1000000,25.00,950.00,2925.00,240.70,365.13,17861.87,437.50,245.00,0.09,3774.00,26824.29,24678.35,0.0268,198715,17242,1934,25000,4XL
"Wie gebaut",5000000,25.00,1860.00,15925.00,1207.51,1834.19,89399.34,2237.50,1245.00,16.09,13574.00,127323.63,117137.74,0.0255,993576,86212,9668,125000,8XL
"Mit Bild-Cache",1000,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,23.00,0.0250,121,17,2,25,Micro
"Mit Bild-Cache",10000,25.00,5.00,0.00,1.42,1.54,86.31,0.00,0.00,0.00,199.00,318.27,292.80,0.0318,1209,172,19,250,Small
"Mit Bild-Cache",100000,25.00,100.00,0.00,23.17,34.60,1065.56,32.50,20.00,0.00,449.00,1749.83,1609.84,0.0175,12090,1724,193,2500,Large
"Mit Bild-Cache",500000,25.00,400.00,1300.00,119.85,181.50,5417.79,212.50,120.00,0.00,2074.00,9850.65,9062.59,0.0197,60448,8621,967,12500,2XL
"Mit Bild-Cache",1000000,25.00,950.00,2925.00,240.70,365.13,10858.08,437.50,245.00,0.09,3774.00,19820.51,18234.87,0.0198,120895,17242,1934,25000,4XL
"Mit Bild-Cache",5000000,25.00,1860.00,15925.00,1207.51,1834.19,54380.42,2237.50,1245.00,16.09,13574.00,92304.71,84920.33,0.0185,604477,86212,9668,125000,8XL
"Bild-Cache + Medien auf R2",1000,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.48,23.44,0.0255,121,17,2,25,Micro
"Bild-Cache + Medien auf R2",10000,25.00,5.00,0.00,1.42,0.00,0.00,0.00,0.00,0.00,199.00,235.21,216.39,0.0235,1209,172,19,250,Small
"Bild-Cache + Medien auf R2",100000,25.00,100.00,0.00,23.17,0.00,0.00,32.50,20.00,0.00,449.00,697.57,641.76,0.0070,12090,1724,193,2500,Large
"Bild-Cache + Medien auf R2",500000,25.00,400.00,1300.00,119.85,0.00,29.00,212.50,120.00,0.00,2074.00,4519.83,4158.24,0.0090,60448,8621,967,12500,2XL
"Bild-Cache + Medien auf R2",1000000,25.00,950.00,2925.00,240.70,0.00,80.50,437.50,245.00,0.09,3774.00,9156.74,8424.20,0.0092,120895,17242,1934,25000,4XL
"Bild-Cache + Medien auf R2",5000000,25.00,1860.00,15925.00,1207.51,0.00,492.48,2237.50,1245.00,16.09,13574.00,38977.36,35859.17,0.0078,604477,86212,9668,125000,8XL
